employee_id,nome,role,ruolo,reparto_id,reparto_label,ore_dovute_mese_h,saldo_prog_iniziale_h,max_month_hours_h,max_week_hours_h,can_work_night,max_nights_week,max_nights_month,max_consecutive_nights,saturday_count_ytd,sunday_count_ytd,holiday_count_ytd,rest11h_max_monthly_exceptions,rest11h_max_consecutive_exceptions,pool_id,cross_max_shifts_month
470,Nome-470 Cognome-470,IP,IP,REP5,,150.0,37.5,,,,,,,,,,,,,
636,Nome-636 Cognome-636,IP,IP,REP0,,150.0,2.5,,,,,,,,,,,,,
6000,Nome-6000 Cognome-6000,IP,IP,REP5,,150.0,10.5,,,,,,,,,,,,,
6500,Nome-6500 Cognome-6500,IP,IP,REP5,,150.0,-27.0,,,,,,,,,,,,,
6642,Nome-6642 Cognome-6642,IP,IP,REP5,,150.0,-18.73,,,,,,,,,,,,,
7709,Nome-7709 Cognome-7709,IP,IP,REP5,,150.0,93.25,,,,,,,,,,,,,
8098,Nome-8098 Cognome-8098,OSS,OSS,REP3,,150.0,9.5,,,,,,,,,,,,,
8099,Nome-8099 Cognome-8099,OSS,OSS,REP2,,150.0,51.0,,,,,,,,,,,,,
8102,Nome-8102 Cognome-8102,OSS,OSS,REP3,,150.0,30.5,,,,,,,,,,,,,
8103,Nome-8103 Cognome-8103,OSS,OSS,REP0,,150.0,51.0,,,,,,,,,,,,,
8104,Nome-8104 Cognome-8104,OSS,OSS,REP2,,150.0,50.0,,,,,,,,,,,,,
8105,Nome-8105 Cognome-8105,OSS,OSS,REP2,,150.0,-0.5,,,,,,,,,,,,,
8107,Nome-8107 Cognome-8107,OSS,OSS,REP3,,150.0,75.0,,,,,,,,,,,,,
8108,Nome-8108 Cognome-8108,OSS,OSS,REP3,,150.0,-11.0,,,,,,,,,,,,,
8109,Nome-8109 Cognome-8109,OSS,OSS,REP3,,150.0,12.5,,,,,,,,,,,,,
8110,Nome-8110 Cognome-8110,OSS,OSS,REP2,,150.0,98.5,,,,,,,,,,,,,
8113,Nome-8113 Cognome-8113,OSS,OSS,REP5,,150.0,36.2,,,,,,,,,,,,,
8114,Nome-8114 Cognome-8114,OSS,OSS,REP5,,75.0,17.0,,,,,,,,,,,,,
8116,Nome-8116 Cognome-8116,OSS,OSS,ADT,,150.0,-39.02,,,,,,,,,,,,,
8117,Nome-8117 Cognome-8117,OSS,OSS,REP3,,150.0,-54.5,,,,,,,,,,,,,
8120,Nome-8120 Cognome-8120,OSS,OSS,REP2,,87.5,57.0,,,,,,,,,,,,,
